team,score,run_rate,pass_rate,pass_cmp_rate,pass_yards,passing_tds,sacks_allowed,pass_yards_per_play,rushing_attempts,rushing_yards,rushing_tds,rush_yards_per_play,total_turnovers,fg_pct
ATL,13,0.39,0.54,0.85,296.924,1,2,9.0,24,59.33,0,2.47,6,66.67
LAC,48,0.56,0.42,0.88,312.61050000000006,5,3,9.19,45,150.78650000000007,1,3.35,1,100.0
