,play_type,field_goal_made,yards_gained,time_elapsed,quarter,quarter_seconds_remaining,turnover,touchdown,posteam
109,pass,,10.016000000000002,36,4,547,False,False,LV
110,pass,,10.016000000000002,31,4,511,False,False,LV
111,run,,0.0,36,4,480,True,False,LV
112,run,,4.15,31,4,444,False,False,KC
113,run,,4.15,26,4,413,False,False,KC
114,pass,,10.113,19,4,387,False,False,KC
115,run,,4.15,17,4,368,False,False,KC
116,run,,4.15,35,4,351,False,False,KC
117,run,,4.15,29,4,316,False,False,KC
118,run,,4.15,17,4,287,False,False,KC
119,pass,,10.113,33,4,270,False,False,KC
120,pass,,10.113,32,4,237,False,False,KC
121,pass,,10.113,33,4,205,False,True,KC
122,run,,3.5740000000000003,32,4,172,False,False,LV
123,pass,,10.016000000000002,30,4,140,False,False,LV
124,pass,,10.016000000000002,39,4,110,False,False,LV
125,pass,,10.016000000000002,31,4,71,False,False,LV
126,run,,-5.902000000000001,23,4,40,False,False,LV
127,pass,,10.016000000000002,25,4,17,False,False,LV
128,pass,,10.016000000000002,25,4,17,False,False,LV
